Scientific name,Comon name,House name,Housing,Exhibit Code
A,Pygmy Goat,Melody,Group,CZ-19
A,Pygmy Goat,Caramel,,CZ-19
A,Pygmy Goat,Licorice,,CZ-19
A,Pygmy Goat,Billy Bong,,CZ-19
A,Pygmy Goat,Firecracker,,CZ-19
A,Pygmy Goat,Clint,,CZ-19
A,Pygmy Goat,Carmi,,CZ-19
A,Pygmy Goat,Penny,,CZ-19
A,Pygmy Goat,Jessie,,CZ-19
B,Nigerian Dwarf Goat,Kimmy,,CZ-19
B,Nigerian Dwarf Goat,Butterscotch,,CZ-19
B,Nigerian Dwarf Goat,Bucky,,CZ-19
B,Nigerian Dwarf Goat,Honey,,CZ-19
B,Nigerian Dwarf Goat,Socks,,CZ-19
B,Nigerian Dwarf Goat,Freckles,,CZ-19
B,Nigerian Dwarf Goat,Fudge Ripple,,CZ-19
C,Domestic Rabbitt,Darth,Group,CZ-19
C,Domestic Rabbitt,Leia,,CZ-19
D,Black Face Sheep,Autumn,Group,CZ-19
E,Suffolk Sheep,Tonka Toy,,CZ-19
E,Suffolk Sheep,Tucker,,CZ-19
E,Suffolk Sheep,Toby,,CZ-19
F,Domestic Dog,Cody,Group,CZ-19
G,Miniature Horse,Elmo,Group,CZ-19
G,Miniature Horse,Katy,,CZ-19
H,Pot Bellied Pig,Miss Piggy,,CZ-19
H,Pot Bellied Pig,Luey,,CZ-19
H,Pot Bellied Pig,Huey,,CZ-19
I,Indian Crested Porcupine,Agra,Group,CZ-11
J,Thick-Billed Parrot,Rojelio,Group,CZ-29
K,White Bellied Tree Pangolin,Baba,Group,CZ-09
L,Kea,Jumbi,Group,CZ-15
M,Collared lorys n=8,Varriable,Group,CZ-16
N,YB Duiker,Male 1,Group,MTAS-00
N,YB Duiker,Female 1,,MTAS-00
N,YB Duiker,Juv 1,,MTAS-00
N,YB Duiker,Male 2,Group,MTAS-03
N,YB Duiker,Female 2,,MTAS-03
P,African Grey Parrot,Kizzy,Group,CZ-25
Q,African Meerkat,Kala,Group,CZ-26
Q,African Meerkat,Hari,,CZ-26
R,African Serval,Shani,Group,CZ-04
S,American Alligator,Laveau,Group,CZ-31
T,Black Tailed Prairie Dog,Warren,Group,CZ-25
T,Black Tailed Prairie Dog,Towns,,CZ-25
U,Bornean Binturong,Phuket,Group,CZ-25
V,Brazilian Porcupine,Icana,Group,CZ-31
W,California Raccoon,Clark,Group,CZ-25
X,Cardinal Lory,Clifford,Group,CZ-25
Y,Chinchilla (male),Chile,Group,CZ-25
Z,Chinchilla (female),Peru,,CZ-25
AA,Double Yellow Headed Amazon,Rio,Group,CZ-25
BB,Fennec Fox,Akela,Group,CZ-08
CC,Fossa,Issa,Group,CZ-30
DD,Geoffroy's Marmoset,April,Group,CZ-32
DD,Geoffroy's Marmoset,Geffrey,,CZ-32
DD,Geoffroy's Marmoset,May,,CZ-32
DD,Geoffroy's Marmoset,Pop,,CZ-32
DD,Geoffroy's Marmoset,Snap,,CZ-32
DD,Geoffroy's Marmoset,Thursday,,CZ-32
DD,Geoffroy's Marmoset,Tuesday,,CZ-32
EE,Hyacinth Macaw,Sammy,Group,CZ-25
FF,Linnaeu's Two-toed Sloth,Consuela,Group,
FF,Linnaeu's Two-toed Sloth,Nico,,
FF,Linnaeu's Two-toed Sloth,Miguel,Group,CZ-25
GG,North American Porcupine,Maizey,Group,CZ-31
GG,North American Porcupine,Priscilla,Group,CZ-31
HH,Ocelot,Diego,Group,CZ-28
II,Pacific Horned Owl,Shaman,Group,CZ-25
JJ,Pygmy Falcon,Jambo,Group,CZ-25
KK,Pygmy Marmoset,Zoe,Group,CZ-21
LL,Goeldi's Marmoset,Chita,,CZ-21
MM,Red Panda,Ashia,Group,CZ-22
OO,Ringtail Cat,Estrella,Group,CZ-25
NN,Rock Hyrax,Dassie,Group,CZ-27
NN,Rock Hyrax,Zawadi,,CZ-27
PP,Rose-Breasted Cockatoo,Cranberry,Group,CZ-25
PP,Rose-Breasted Cockatoo,Raspberry,,CZ-25
QQ,Scarlet Macaw,Papagayo,Group,CZ-25
RR,South African Hedgehog,Bruce,Group,CZ-25
SS,Spider Monkey,Joe,Group,CZ-17
SS,Spider Monkey,Lucy,,CZ-17
TT,Spot-necked Otter,Jo Jo,Group,CZ-20
UU,Sugar Glider,Bindi,Group,CZ-25
UU,Sugar Glider,Sheila,,CZ-25
UU,Sugar Glider,Sydney,,CZ-25
VV,Tamandua,Tipu,Group,CZ-25
WW,Three Banded Armadillo,Armando,Group,CZ-25
WW,Three Banded Armadillo,Cocoa,Group,CZ-25
XX,Western Screech Owl,Ojos,Group,CZ-25
